Seed,Epsilon,Fair-Method,DP-Method,DI,ACC,ACC_PRIV,ACC_UNPRIV,PREC,REC,MAD,EOD,TPR,FPR,TNR,FNR,SPD,EODD
5,,,,0.29451746994719696,0.8362204724409449,0.7981308411214953,0.914975845410628,0.6895674300254453,0.5878524945770065,0.11684500428913269,-0.13536928741607107,0.5878524945770065,0.08448753462603878,0.9155124653739612,0.4121475054229935,-0.18900778063719953,0.13536928741607107
5,,reweigh,mst,0.29451746994719696,0.8362204724409449,0.7981308411214953,0.914975845410628,0.6895674300254453,0.5878524945770065,0.11684500428913269,-0.13536928741607107,0.5878524945770065,0.08448753462603878,0.9155124653739612,0.4121475054229935,-0.18900778063719953,0.13536928741607107
5,,reweigh,mst,0.5803096527734208,0.8301312335958005,0.7937694704049845,0.9053140096618357,0.6935211267605634,0.5340563991323211,0.11154453925685126,0.11563244531080785,0.5340563991323211,0.07534626038781163,0.9246537396121883,0.46594360086767894,-0.09060604692461663,0.11563244531080785
5,,dir,mst,0.29451746994719696,0.8362204724409449,0.7981308411214953,0.914975845410628,0.6895674300254453,0.5878524945770065,0.11684500428913269,-0.13536928741607107,0.5878524945770065,0.08448753462603878,0.9155124653739612,0.4121475054229935,-0.18900778063719953,0.13536928741607107
5,,dir,mst,0.133514206561806,0.8324409448818898,0.7968847352024923,0.9059581320450886,0.6972732331663885,0.5436008676789588,0.10907339684259632,-0.3522280359768818,0.5436008676789588,0.07534626038781163,0.9246537396121883,0.45639913232104123,-0.22782367902237874,0.3522280359768818
5,,egr,mst,0.29451746994719696,0.8362204724409449,0.7981308411214953,0.914975845410628,0.6895674300254453,0.5878524945770065,0.11684500428913269,-0.13536928741607107,0.5878524945770065,0.08448753462603878,0.9155124653739612,0.4121475054229935,-0.18900778063719953,0.13536928741607107
5,,egr,mst,0.5089334715531435,0.8313910761154856,0.7968847352024923,0.9027375201288245,0.6966797974113674,0.5370932754880694,0.10585278492633221,0.03648843518803513,0.5370932754880694,0.07465373961218837,0.9253462603878116,0.4629067245119306,-0.10907490180143574,0.03648843518803513
5,,gsr,mst,0.29451746994719696,0.8362204724409449,0.7981308411214953,0.914975845410628,0.6895674300254453,0.5878524945770065,0.11684500428913269,-0.13536928741607107,0.5878524945770065,0.08448753462603878,0.9155124653739612,0.4121475054229935,-0.18900778063719953,0.13536928741607107
5,,gsr,mst,0.29451746994719696,0.8362204724409449,0.7981308411214953,0.914975845410628,0.6895674300254453,0.5878524945770065,0.11684500428913269,-0.13536928741607107,0.5878524945770065,0.08448753462603878,0.9155124653739612,0.4121475054229935,-0.18900778063719953,0.13536928741607107
5,,roc,mst,0.29451746994719696,0.8362204724409449,0.7981308411214953,0.914975845410628,0.6895674300254453,0.5878524945770065,0.11684500428913269,-0.13536928741607107,0.5878524945770065,0.08448753462603878,0.9155124653739612,0.4121475054229935,-0.18900778063719953,0.13536928741607107
5,,roc,mst,0.9003515400180081,0.7720734908136483,0.7795950155763239,0.7565217391304347,0.5193753614806247,0.779175704989154,-0.02307327644588919,0.1501587383012437,0.779175704989154,0.23019390581717453,0.7698060941828255,0.220824295010846,-0.03739145484371004,0.1501587383012437
5,,eqodds,mst,0.29451746994719696,0.8362204724409449,0.7981308411214953,0.914975845410628,0.6895674300254453,0.5878524945770065,0.11684500428913269,-0.13536928741607107,0.5878524945770065,0.08448753462603878,0.9155124653739612,0.4121475054229935,-0.18900778063719953,0.13536928741607107
5,,eqodds,mst,0.6536900780379041,0.8070341207349081,0.7766355140186916,0.8698872785829308,0.6364699006428989,0.4724511930585683,0.09325176456423923,0.04416031143485749,0.4724511930585683,0.08614958448753463,0.9138504155124654,0.5275488069414317,-0.07012506207955213,0.04416031143485749
5,0.25,,,0.5898558055317308,0.7459317585301837,0.6780373831775701,0.8863123993558776,0.43211334120425027,0.15878524945770064,0.20827501617830746,0.1336080617397946,0.15878524945770064,0.06662049861495845,0.9333795013850416,0.8412147505422993,-0.04210047105211673,0.1336080617397946
5,0.25,reweigh,mst,0.5898558055317308,0.7459317585301837,0.6780373831775701,0.8863123993558776,0.43211334120425027,0.15878524945770064,0.20827501617830746,0.1336080617397946,0.15878524945770064,0.06662049861495845,0.9333795013850416,0.8412147505422993,-0.04210047105211673,0.1336080617397946
5,0.25,reweigh,mst,4.2458343021002865,0.7501312335958005,0.6867601246105919,0.881159420289855,0.4343257443082312,0.10759219088937093,0.19439929567926317,0.48991142573783386,0.10759219088937093,0.04473684210526316,0.9552631578947368,0.8924078091106291,0.09454377172784324,0.48991142573783386
5,0.25,dir,mst,0.5898558055317308,0.7459317585301837,0.6780373831775701,0.8863123993558776,0.43211334120425027,0.15878524945770064,0.20827501617830746,0.1336080617397946,0.15878524945770064,0.06662049861495845,0.9333795013850416,0.8412147505422993,-0.04210047105211673,0.1336080617397946
5,0.25,dir,mst,0.5008005912058136,0.7463517060367454,0.6781931464174454,0.8872785829307569,0.43671607753705816,0.16616052060737527,0.20908543651331146,0.10187180100999735,0.16616052060737527,0.06842105263157895,0.9315789473684211,0.8338394793926247,-0.05489638358390898,0.10187180100999735
5,0.25,egr,mst,0.5898558055317308,0.7459317585301837,0.6780373831775701,0.8863123993558776,0.43211334120425027,0.15878524945770064,0.20827501617830746,0.1336080617397946,0.15878524945770064,0.06662049861495845,0.9333795013850416,0.8412147505422993,-0.04210047105211673,0.1336080617397946
